Element,Episode,Title,Included
Bridge,S01E02,MT. MCKINLEY,0
Building,S01E02,MT. MCKINLEY,0
Bushes,S01E02,MT. MCKINLEY,0
Cabin,S01E02,MT. MCKINLEY,1
Cactus,S01E02,MT. MCKINLEY,0
Circle Frame,S01E02,MT. MCKINLEY,0
Cirrus,S01E02,MT. MCKINLEY,0
Cliff,S01E02,MT. MCKINLEY,0
Clouds,S01E02,MT. MCKINLEY,1
Conifer,S01E02,MT. MCKINLEY,1
Cumulus,S01E02,MT. MCKINLEY,0
Deciduous,S01E02,MT. MCKINLEY,0
Diane Andre,S01E02,MT. MCKINLEY,0
Dock,S01E02,MT. MCKINLEY,0
Double Oval Frame,S01E02,MT. MCKINLEY,0
Farm,S01E02,MT. MCKINLEY,0
Fence,S01E02,MT. MCKINLEY,0
Fire,S01E02,MT. MCKINLEY,0
Florida Frame,S01E02,MT. MCKINLEY,0
Flowers,S01E02,MT. MCKINLEY,0
FOG,S01E02,MT. MCKINLEY,0
Framed,S01E02,MT. MCKINLEY,0
Grass,S01E02,MT. MCKINLEY,0
Guest,S01E02,MT. MCKINLEY,0
Half Circle Frame,S01E02,MT. MCKINLEY,0
Half Oval Frame,S01E02,MT. MCKINLEY,0
Hills,S01E02,MT. MCKINLEY,0
Lakes,S01E02,MT. MCKINLEY,0
Lake,S01E02,MT. MCKINLEY,0
Lighthouse,S01E02,MT. MCKINLEY,0
Mill,S01E02,MT. MCKINLEY,0
Moon,S01E02,MT. MCKINLEY,0
Mountains,S01E02,MT. MCKINLEY,0
Mountain,S01E02,MT. MCKINLEY,1
Night,S01E02,MT. MCKINLEY,0
Ocean,S01E02,MT. MCKINLEY,0
Oval Frame,S01E02,MT. MCKINLEY,0
Palm Trees,S01E02,MT. MCKINLEY,0
Path,S01E02,MT. MCKINLEY,0
Person,S01E02,MT. MCKINLEY,0
Portrait,S01E02,MT. MCKINLEY,0
Rectangle 3D Frame,S01E02,MT. MCKINLEY,0
Rectangular Frame,S01E02,MT. MCKINLEY,0
River,S01E02,MT. MCKINLEY,0
Rocks,S01E02,MT. MCKINLEY,0
Seashell Frame,S01E02,MT. MCKINLEY,0
Snowy Mountain,S01E02,MT. MCKINLEY,1
Snow,S01E02,MT. MCKINLEY,1
Split Frame,S01E02,MT. MCKINLEY,0
Steve Ross,S01E02,MT. MCKINLEY,0
Structure,S01E02,MT. MCKINLEY,0
SUN,S01E02,MT. MCKINLEY,0
Tomb Frame,S01E02,MT. MCKINLEY,0
Trees,S01E02,MT. MCKINLEY,1
Tree,S01E02,MT. MCKINLEY,1
Triple Frame,S01E02,MT. MCKINLEY,0
Waterfall,S01E02,MT. MCKINLEY,0
Waves,S01E02,MT. MCKINLEY,0
Windmill,S01E02,MT. MCKINLEY,0
Window Frame,S01E02,MT. MCKINLEY,0
Winter,S01E02,MT. MCKINLEY,1
Wood Framed,S01E02,MT. MCKINLEY,0
Apple Frame,S01E03,EBONY SUNSET,0
Aurora Borealis,S01E03,EBONY SUNSET,0
Barn,S01E03,EBONY SUNSET,0
Beach,S01E03,EBONY SUNSET,0
Boat,S01E03,EBONY SUNSET,0
Bridge,S01E03,EBONY SUNSET,0
Building,S01E03,EBONY SUNSET,0
Bushes,S01E03,EBONY SUNSET,0
Cabin,S01E03,EBONY SUNSET,1
Cactus,S01E03,EBONY SUNSET,0
Circle Frame,S01E03,EBONY SUNSET,0
Cirrus,S01E03,EBONY SUNSET,0
Cliff,S01E03,EBONY SUNSET,0
Clouds,S01E03,EBONY SUNSET,0
Conifer,S01E03,EBONY SUNSET,1
Cumulus,S01E03,EBONY SUNSET,0
Deciduous,S01E03,EBONY SUNSET,0
Diane Andre,S01E03,EBONY SUNSET,0
Dock,S01E03,EBONY SUNSET,0
Double Oval Frame,S01E03,EBONY SUNSET,0
Farm,S01E03,EBONY SUNSET,0
Fence,S01E03,EBONY SUNSET,1
Fire,S01E03,EBONY SUNSET,0
Florida Frame,S01E03,EBONY SUNSET,0
Flowers,S01E03,EBONY SUNSET,0
FOG,S01E03,EBONY SUNSET,0
Framed,S01E03,EBONY SUNSET,0
Grass,S01E03,EBONY SUNSET,0
Guest,S01E03,EBONY SUNSET,0
Half Circle Frame,S01E03,EBONY SUNSET,0
Half Oval Frame,S01E03,EBONY SUNSET,0
Hills,S01E03,EBONY SUNSET,0
Lakes,S01E03,EBONY SUNSET,0
Lake,S01E03,EBONY SUNSET,0
Lighthouse,S01E03,EBONY SUNSET,0
Mill,S01E03,EBONY SUNSET,0
Moon,S01E03,EBONY SUNSET,0
Mountains,S01E03,EBONY SUNSET,1
Mountain,S01E03,EBONY SUNSET,1
Night,S01E03,EBONY SUNSET,0
Ocean,S01E03,EBONY SUNSET,0
Oval Frame,S01E03,EBONY SUNSET,0
Palm Trees,S01E03,EBONY SUNSET,0
Path,S01E03,EBONY SUNSET,0
Person,S01E03,EBONY SUNSET,0
Portrait,S01E03,EBONY SUNSET,0
Rectangle 3D Frame,S01E03,EBONY SUNSET,0
Rectangular Frame,S01E03,EBONY SUNSET,0
River,S01E03,EBONY SUNSET,0
Rocks,S01E03,EBONY SUNSET,0
Seashell Frame,S01E03,EBONY SUNSET,0
Snowy Mountain,S01E03,EBONY SUNSET,0
Snow,S01E03,EBONY SUNSET,0
Split Frame,S01E03,EBONY SUNSET,0
Steve Ross,S01E03,EBONY SUNSET,0
Structure,S01E03,EBONY SUNSET,1
SUN,S01E03,EBONY SUNSET,1
Tomb Frame,S01E03,EBONY SUNSET,0
Trees,S01E03,EBONY SUNSET,1
Tree,S01E03,EBONY SUNSET,1
Triple Frame,S01E03,EBONY SUNSET,0
Waterfall,S01E03,EBONY SUNSET,0
Waves,S01E03,EBONY SUNSET,0
Windmill,S01E03,EBONY SUNSET,0
Window Frame,S01E03,EBONY SUNSET,0
Winter,S01E03,EBONY SUNSET,1
Wood Framed,S01E03,EBONY SUNSET,0
Apple Frame,S01E04,WINTER MIST,0
Aurora Borealis,S01E04,WINTER MIST,0
Barn,S01E04,WINTER MIST,0
Beach,S01E04,WINTER MIST,0
Boat,S01E04,WINTER MIST,0
Bridge,S01E04,WINTER MIST,0
Building,S01E04,WINTER MIST,0
Bushes,S01E04,WINTER MIST,1
Cabin,S01E04,WINTER MIST,0
Cactus,S01E04,WINTER MIST,0
Circle Frame,S01E04,WINTER MIST,0
Cirrus,S01E04,WINTER MIST,0
Cliff,S01E04,WINTER MIST,0
Clouds,S01E04,WINTER MIST,1
Conifer,S01E04,WINTER MIST,1
Cumulus,S01E04,WINTER MIST,0
Deciduous,S01E04,WINTER MIST,0
Diane Andre,S01E04,WINTER MIST,0
Dock,S01E04,WINTER MIST,0
Double Oval Frame,S01E04,WINTER MIST,0
Farm,S01E04,WINTER MIST,0
Fence,S01E04,WINTER MIST,0
Fire,S01E04,WINTER MIST,0
Florida Frame,S01E04,WINTER MIST,0
Flowers,S01E04,WINTER MIST,0
FOG,S01E04,WINTER MIST,0
Framed,S01E04,WINTER MIST,0
Grass,S01E04,WINTER MIST,0
Guest,S01E04,WINTER MIST,0
Half Circle Frame,S01E04,WINTER MIST,0
Half Oval Frame,S01E04,WINTER MIST,0
Hills,S01E04,WINTER MIST,0
Lakes,S01E04,WINTER MIST,0
Lake,S01E04,WINTER MIST,1
Lighthouse,S01E04,WINTER MIST,0
Mill,S01E04,WINTER MIST,0
Moon,S01E04,WINTER MIST,0
Mountains,S01E04,WINTER MIST,0
Mountain,S01E04,WINTER MIST,1
Night,S01E04,WINTER MIST,0
Ocean,S01E04,WINTER MIST,0
Oval Frame,S01E04,WINTER MIST,0
Palm Trees,S01E04,WINTER MIST,0
Path,S01E04,WINTER MIST,0
Person,S01E04,WINTER MIST,0
Portrait,S01E04,WINTER MIST,0
Rectangle 3D Frame,S01E04,WINTER MIST,0
Rectangular Frame,S01E04,WINTER MIST,0
River,S01E04,WINTER MIST,0
Rocks,S01E04,WINTER MIST,0
Seashell Frame,S01E04,WINTER MIST,0
Snowy Mountain,S01E04,WINTER MIST,1
Snow,S01E04,WINTER MIST,0
Split Frame,S01E04,WINTER MIST,0
Steve Ross,S01E04,WINTER MIST,0
Structure,S01E04,WINTER MIST,0
SUN,S01E04,WINTER MIST,0
Tomb Frame,S01E04,WINTER MIST,0
Trees,S01E04,WINTER MIST,1
Tree,S01E04,WINTER MIST,1
Triple Frame,S01E04,WINTER MIST,0
Waterfall,S01E04,WINTER MIST,0
Waves,S01E04,WINTER MIST,0
Windmill,S01E04,WINTER MIST,0
Window Frame,S01E04,WINTER MIST,0
Winter,S01E04,WINTER MIST,0
Wood Framed,S01E04,WINTER MIST,0
Apple Frame,S01E05,QUIET STREAM,0
Aurora Borealis,S01E05,QUIET STREAM,0
Barn,S01E05,QUIET STREAM,0
Beach,S01E05,QUIET STREAM,0
Boat,S01E05,QUIET STREAM,0
Bridge,S01E05,QUIET STREAM,0
Building,S01E05,QUIET STREAM,0
Bushes,S01E05,QUIET STREAM,0
Cabin,S01E05,QUIET STREAM,0
Cactus,S01E05,QUIET STREAM,0
Circle Frame,S01E05,QUIET STREAM,0
Cirrus,S01E05,QUIET STREAM,0
Cliff,S01E05,QUIET STREAM,0
Clouds,S01E05,QUIET STREAM,0
Conifer,S01E05,QUIET STREAM,0
Cumulus,S01E05,QUIET STREAM,0
Deciduous,S01E05,QUIET STREAM,1
Diane Andre,S01E05,QUIET STREAM,0
Dock,S01E05,QUIET STREAM,0
Double Oval Frame,S01E05,QUIET STREAM,0
Farm,S01E05,QUIET STREAM,0
Fence,S01E05,QUIET STREAM,0
Fire,S01E05,QUIET STREAM,0
Florida Frame,S01E05,QUIET STREAM,0
Flowers,S01E05,QUIET STREAM,0
FOG,S01E05,QUIET STREAM,0
Framed,S01E05,QUIET STREAM,0
Grass,S01E05,QUIET STREAM,0
Guest,S01E05,QUIET STREAM,0
Half Circle Frame,S01E05,QUIET STREAM,0
Half Oval Frame,S01E05,QUIET STREAM,0
Hills,S01E05,QUIET STREAM,0
Lakes,S01E05,QUIET STREAM,0
Lake,S01E05,QUIET STREAM,0
Lighthouse,S01E05,QUIET STREAM,0
Mill,S01E05,QUIET STREAM,0
Moon,S01E05,QUIET STREAM,0
Mountains,S01E05,QUIET STREAM,0
Mountain,S01E05,QUIET STREAM,0
Night,S01E05,QUIET STREAM,0
Ocean,S01E05,QUIET STREAM,0
Oval Frame,S01E05,QUIET STREAM,0
Palm Trees,S01E05,QUIET STREAM,0
Path,S01E05,QUIET STREAM,0
Person,S01E05,QUIET STREAM,0
Portrait,S01E05,QUIET STREAM,0
Rectangle 3D Frame,S01E05,QUIET STREAM,0
Rectangular Frame,S01E05,QUIET STREAM,0
River,S01E05,QUIET STREAM,1
Rocks,S01E05,QUIET STREAM,1
Seashell Frame,S01E05,QUIET STREAM,0
Snowy Mountain,S01E05,QUIET STREAM,0
Snow,S01E05,QUIET STREAM,0
Split Frame,S01E05,QUIET STREAM,0
Steve Ross,S01E05,QUIET STREAM,0
Structure,S01E05,QUIET STREAM,0
SUN,S01E05,QUIET STREAM,0
Tomb Frame,S01E05,QUIET STREAM,0
Trees,S01E05,QUIET STREAM,1
Tree,S01E05,QUIET STREAM,1
Triple Frame,S01E05,QUIET STREAM,0
Waterfall,S01E05,QUIET STREAM,0
Waves,S01E05,QUIET STREAM,0
Windmill,S01E05,QUIET STREAM,0
Window Frame,S01E05,QUIET STREAM,0
Winter,S01E05,QUIET STREAM,0
Wood Framed,S01E05,QUIET STREAM,0
Apple Frame,S01E06,WINTER MOON,0
Aurora Borealis,S01E06,WINTER MOON,0
Barn,S01E06,WINTER MOON,0
Beach,S01E06,WINTER MOON,0
Boat,S01E06,WINTER MOON,0
Bridge,S01E06,WINTER MOON,0
Building,S01E06,WINTER MOON,0
Bushes,S01E06,WINTER MOON,0
Cabin,S01E06,WINTER MOON,1
Cactus,S01E06,WINTER MOON,0
Circle Frame,S01E06,WINTER MOON,0
Cirrus,S01E06,WINTER MOON,0
Cliff,S01E06,WINTER MOON,0
Clouds,S01E06,WINTER MOON,0
Conifer,S01E06,WINTER MOON,1
Cumulus,S01E06,WINTER MOON,0
Deciduous,S01E06,WINTER MOON,0
Diane Andre,S01E06,WINTER MOON,0
Dock,S01E06,WINTER MOON,0
Double Oval Frame,S01E06,WINTER MOON,0
Farm,S01E06,WINTER MOON,0
Fence,S01E06,WINTER MOON,0
Fire,S01E06,WINTER MOON,0
Florida Frame,S01E06,WINTER MOON,0
Flowers,S01E06,WINTER MOON,0
FOG,S01E06,WINTER MOON,0
Framed,S01E06,WINTER MOON,0
Grass,S01E06,WINTER MOON,0
Guest,S01E06,WINTER MOON,0
Half Circle Frame,S01E06,WINTER MOON,0
Half Oval Frame,S01E06,WINTER MOON,0
Hills,S01E06,WINTER MOON,0
Lakes,S01E06,WINTER MOON,0
Lake,S01E06,WINTER MOON,1
Lighthouse,S01E06,WINTER MOON,0
Mill,S01E06,WINTER MOON,0
Moon,S01E06,WINTER MOON,1
Mountains,S01E06,WINTER MOON,1
Mountain,S01E06,WINTER MOON,1
Night,S01E06,WINTER MOON,1
Ocean,S01E06,WINTER MOON,0
Oval Frame,S01E06,WINTER MOON,0
Palm Trees,S01E06,WINTER MOON,0
Path,S01E06,WINTER MOON,0
Person,S01E06,WINTER MOON,0
Portrait,S01E06,WINTER MOON,0
Rectangle 3D Frame,S01E06,WINTER MOON,0
Rectangular Frame,S01E06,WINTER MOON,0
River,S01E06,WINTER MOON,0
Rocks,S01E06,WINTER MOON,0
Seashell Frame,S01E06,WINTER MOON,0
Snowy Mountain,S01E06,WINTER MOON,1
Snow,S01E06,WINTER MOON,1
Split Frame,S01E06,WINTER MOON,0
Steve Ross,S01E06,WINTER MOON,0
Structure,S01E06,WINTER MOON,1
SUN,S01E06,WINTER MOON,0
Tomb Frame,S01E06,WINTER MOON,0
Trees,S01E06,WINTER MOON,1
Tree,S01E06,WINTER MOON,1
Triple Frame,S01E06,WINTER MOON,0
Waterfall,S01E06,WINTER MOON,0
Waves,S01E06,WINTER MOON,0
Windmill,S01E06,WINTER MOON,0
Window Frame,S01E06,WINTER MOON,0
Winter,S01E06,WINTER MOON,1
Wood Framed,S01E06,WINTER MOON,0
Apple Frame,S01E07,AUTUMN MOUNTAINS,0
Aurora Borealis,S01E07,AUTUMN MOUNTAINS,0
Barn,S01E07,AUTUMN MOUNTAINS,0
Beach,S01E07,AUTUMN MOUNTAINS,0
Boat,S01E07,AUTUMN MOUNTAINS,0
Bridge,S01E07,AUTUMN MOUNTAINS,0
Building,S01E07,AUTUMN MOUNTAINS,0
Bushes,S01E07,AUTUMN MOUNTAINS,0
Cabin,S01E07,AUTUMN MOUNTAINS,0
Cactus,S01E07,AUTUMN MOUNTAINS,0
Circle Frame,S01E07,AUTUMN MOUNTAINS,0
Cirrus,S01E07,AUTUMN MOUNTAINS,0
Cliff,S01E07,AUTUMN MOUNTAINS,0
Clouds,S01E07,AUTUMN MOUNTAINS,0
Conifer,S01E07,AUTUMN MOUNTAINS,0
Cumulus,S01E07,AUTUMN MOUNTAINS,0
Deciduous,S01E07,AUTUMN MOUNTAINS,1
Diane Andre,S01E07,AUTUMN MOUNTAINS,0
Dock,S01E07,AUTUMN MOUNTAINS,0
Double Oval Frame,S01E07,AUTUMN MOUNTAINS,0
Farm,S01E07,AUTUMN MOUNTAINS,0
Fence,S01E07,AUTUMN MOUNTAINS,0
Fire,S01E07,AUTUMN MOUNTAINS,0
Florida Frame,S01E07,AUTUMN MOUNTAINS,0
Flowers,S01E07,AUTUMN MOUNTAINS,0
FOG,S01E07,AUTUMN MOUNTAINS,0
Framed,S01E07,AUTUMN MOUNTAINS,0
Grass,S01E07,AUTUMN MOUNTAINS,0
Guest,S01E07,AUTUMN MOUNTAINS,0
Half Circle Frame,S01E07,AUTUMN MOUNTAINS,0
Half Oval Frame,S01E07,AUTUMN MOUNTAINS,0
Hills,S01E07,AUTUMN MOUNTAINS,0
Lakes,S01E07,AUTUMN MOUNTAINS,0
Lake,S01E07,AUTUMN MOUNTAINS,1
Lighthouse,S01E07,AUTUMN MOUNTAINS,0
Mill,S01E07,AUTUMN MOUNTAINS,0
Moon,S01E07,AUTUMN MOUNTAINS,0
Mountains,S01E07,AUTUMN MOUNTAINS,1
Mountain,S01E07,AUTUMN MOUNTAINS,1
Night,S01E07,AUTUMN MOUNTAINS,0
Ocean,S01E07,AUTUMN MOUNTAINS,0
Oval Frame,S01E07,AUTUMN MOUNTAINS,0
Palm Trees,S01E07,AUTUMN MOUNTAINS,0
Path,S01E07,AUTUMN MOUNTAINS,0
Person,S01E07,AUTUMN MOUNTAINS,0
Portrait,S01E07,AUTUMN MOUNTAINS,0
Rectangle 3D Frame,S01E07,AUTUMN MOUNTAINS,0
Rectangular Frame,S01E07,AUTUMN MOUNTAINS,0
River,S01E07,AUTUMN MOUNTAINS,0
Rocks,S01E07,AUTUMN MOUNTAINS,0
Seashell Frame,S01E07,AUTUMN MOUNTAINS,0
Snowy Mountain,S01E07,AUTUMN MOUNTAINS,1
Snow,S01E07,AUTUMN MOUNTAINS,0
Split Frame,S01E07,AUTUMN MOUNTAINS,0
Steve Ross,S01E07,AUTUMN MOUNTAINS,0
Structure,S01E07,AUTUMN MOUNTAINS,0
SUN,S01E07,AUTUMN MOUNTAINS,0
Tomb Frame,S01E07,AUTUMN MOUNTAINS,0
Trees,S01E07,AUTUMN MOUNTAINS,1
Tree,S01E07,AUTUMN MOUNTAINS,1
Triple Frame,S01E07,AUTUMN MOUNTAINS,0
Waterfall,S01E07,AUTUMN MOUNTAINS,0
Waves,S01E07,AUTUMN MOUNTAINS,0
Windmill,S01E07,AUTUMN MOUNTAINS,0
Window Frame,S01E07,AUTUMN MOUNTAINS,0
Winter,S01E07,AUTUMN MOUNTAINS,0
Wood Framed,S01E07,AUTUMN MOUNTAINS,0
Apple Frame,S01E08,PEACEFUL VALLEY,0
Aurora Borealis,S01E08,PEACEFUL VALLEY,0
Barn,S01E08,PEACEFUL VALLEY,0
Beach,S01E08,PEACEFUL VALLEY,0
Boat,S01E08,PEACEFUL VALLEY,0
Bridge,S01E08,PEACEFUL VALLEY,0
Building,S01E08,PEACEFUL VALLEY,0
Bushes,S01E08,PEACEFUL VALLEY,1
Cabin,S01E08,PEACEFUL VALLEY,0
Cactus,S01E08,PEACEFUL VALLEY,0
Circle Frame,S01E08,PEACEFUL VALLEY,0
Cirrus,S01E08,PEACEFUL VALLEY,0
Cliff,S01E08,PEACEFUL VALLEY,0
Clouds,S01E08,PEACEFUL VALLEY,0
Conifer,S01E08,PEACEFUL VALLEY,1
Cumulus,S01E08,PEACEFUL VALLEY,0
Deciduous,S01E08,PEACEFUL VALLEY,0
Diane Andre,S01E08,PEACEFUL VALLEY,0
Dock,S01E08,PEACEFUL VALLEY,0
Double Oval Frame,S01E08,PEACEFUL VALLEY,0
Farm,S01E08,PEACEFUL VALLEY,0
Fence,S01E08,PEACEFUL VALLEY,0
Fire,S01E08,PEACEFUL VALLEY,0
Florida Frame,S01E08,PEACEFUL VALLEY,0
Flowers,S01E08,PEACEFUL VALLEY,0
FOG,S01E08,PEACEFUL VALLEY,0
Framed,S01E08,PEACEFUL VALLEY,0
Grass,S01E08,PEACEFUL VALLEY,0
Guest,S01E08,PEACEFUL VALLEY,0
Half Circle Frame,S01E08,PEACEFUL VALLEY,0
Half Oval Frame,S01E08,PEACEFUL VALLEY,0
Hills,S01E08,PEACEFUL VALLEY,0
Lakes,S01E08,PEACEFUL VALLEY,0
Lake,S01E08,PEACEFUL VALLEY,1
Lighthouse,S01E08,PEACEFUL VALLEY,0
Mill,S01E08,PEACEFUL VALLEY,0
Moon,S01E08,PEACEFUL VALLEY,0
Mountains,S01E08,PEACEFUL VALLEY,1
Mountain,S01E08,PEACEFUL VALLEY,1
Night,S01E08,PEACEFUL VALLEY,0
Ocean,S01E08,PEACEFUL VALLEY,0
Oval Frame,S01E08,PEACEFUL VALLEY,0
Palm Trees,S01E08,PEACEFUL VALLEY,0
Path,S01E08,PEACEFUL VALLEY,0
Person,S01E08,PEACEFUL VALLEY,0
Portrait,S01E08,PEACEFUL VALLEY,0
Rectangle 3D Frame,S01E08,PEACEFUL VALLEY,0
Rectangular Frame,S01E08,PEACEFUL VALLEY,0
River,S01E08,PEACEFUL VALLEY,0
Rocks,S01E08,PEACEFUL VALLEY,0
Seashell Frame,S01E08,PEACEFUL VALLEY,0
Snowy Mountain,S01E08,PEACEFUL VALLEY,0
Snow,S01E08,PEACEFUL VALLEY,0
Split Frame,S01E08,PEACEFUL VALLEY,0
Steve Ross,S01E08,PEACEFUL VALLEY,0
Structure,S01E08,PEACEFUL VALLEY,0
SUN,S01E08,PEACEFUL VALLEY,0
Tomb Frame,S01E08,PEACEFUL VALLEY,0
Trees,S01E08,PEACEFUL VALLEY,1
Tree,S01E08,PEACEFUL VALLEY,1
Triple Frame,S01E08,PEACEFUL VALLEY,0
Waterfall,S01E08,PEACEFUL VALLEY,0
Waves,S01E08,PEACEFUL VALLEY,0
Windmill,S01E08,PEACEFUL VALLEY,0
Window Frame,S01E08,PEACEFUL VALLEY,0
Winter,S01E08,PEACEFUL VALLEY,0
Wood Framed,S01E08,PEACEFUL VALLEY,0
Apple Frame,S01E09,SEASCAPE,0
Aurora Borealis,S01E09,SEASCAPE,0
Barn,S01E09,SEASCAPE,0
Beach,S01E09,SEASCAPE,1
Boat,S01E09,SEASCAPE,0
Bridge,S01E09,SEASCAPE,0
Building,S01E09,SEASCAPE,0
Bushes,S01E09,SEASCAPE,0
Cabin,S01E09,SEASCAPE,0
Cactus,S01E09,SEASCAPE,0
Circle Frame,S01E09,SEASCAPE,0
Cirrus,S01E09,SEASCAPE,0
Cliff,S01E09,SEASCAPE,0
Clouds,S01E09,SEASCAPE,1
Conifer,S01E09,SEASCAPE,0
Cumulus,S01E09,SEASCAPE,0
Deciduous,S01E09,SEASCAPE,0
Diane Andre,S01E09,SEASCAPE,0
Dock,S01E09,SEASCAPE,0
Double Oval Frame,S01E09,SEASCAPE,0
Farm,S01E09,SEASCAPE,0
Fence,S01E09,SEASCAPE,1
Fire,S01E09,SEASCAPE,0
Florida Frame,S01E09,SEASCAPE,0
Flowers,S01E09,SEASCAPE,0
FOG,S01E09,SEASCAPE,0
Framed,S01E09,SEASCAPE,0
Grass,S01E09,SEASCAPE,0
Guest,S01E09,SEASCAPE,0
Half Circle Frame,S01E09,SEASCAPE,0
Half Oval Frame,S01E09,SEASCAPE,0
Hills,S01E09,SEASCAPE,0
Lakes,S01E09,SEASCAPE,0
Lake,S01E09,SEASCAPE,0
Lighthouse,S01E09,SEASCAPE,0
Mill,S01E09,SEASCAPE,0
Moon,S01E09,SEASCAPE,0
Mountains,S01E09,SEASCAPE,0
Mountain,S01E09,SEASCAPE,0
Night,S01E09,SEASCAPE,0
Ocean,S01E09,SEASCAPE,1
Oval Frame,S01E09,SEASCAPE,0
Palm Trees,S01E09,SEASCAPE,0
Path,S01E09,SEASCAPE,0
Person,S01E09,SEASCAPE,0
Portrait,S01E09,SEASCAPE,0
Rectangle 3D Frame,S01E09,SEASCAPE,0
Rectangular Frame,S01E09,SEASCAPE,0
River,S01E09,SEASCAPE,0
Rocks,S01E09,SEASCAPE,0
Seashell Frame,S01E09,SEASCAPE,0
Snowy Mountain,S01E09,SEASCAPE,0
Snow,S01E09,SEASCAPE,0
Split Frame,S01E09,SEASCAPE,0
Steve Ross,S01E09,SEASCAPE,0
Structure,S01E09,SEASCAPE,0
SUN,S01E09,SEASCAPE,0
Tomb Frame,S01E09,SEASCAPE,0
Trees,S01E09,SEASCAPE,0
Tree,S01E09,SEASCAPE,0
Triple Frame,S01E09,SEASCAPE,0
Waterfall,S01E09,SEASCAPE,0
Waves,S01E09,SEASCAPE,0
Windmill,S01E09,SEASCAPE,0
Window Frame,S01E09,SEASCAPE,0
Winter,S01E09,SEASCAPE,0
Wood Framed,S01E09,SEASCAPE,0
Apple Frame,S01E10,MOUNTAIN LAKE,0
Aurora Borealis,S01E10,MOUNTAIN LAKE,0
Barn,S01E10,MOUNTAIN LAKE,0
